lineID|day|pid|adFlag|availability|competitorPrice|click|basket|order|price|revenue
49|35|108|1|2|25.35|0|0|0|27.05|0.0
50|40|101|0|1||0|0|0|7.76|0.0
51|40|101|0|1||1|0|0|8.4|0.0
52|40|101|1|4|8.06|0|0|0|8.05|0.0
53|40|102|0|2|16.98|0|0|0|14.28|0.0
54|40|103|0|4|8.01|1|0|0|8.49|0.0
55|40|104|1|3|8.38|0|0|0|6.54|0.0
56|40|105|0|1|11.73|0|0|0|10.56|0.0
57|40|105|0|4|13.19|0|0|0|11.44|0.0
58|40|106|0|1|17.72|0|0|0|13.41|0.0
59|40|106|0|1|15.94|0|0|0|14.89|0.0
60|40|106|0|3|14.45|0|0|0|17.71|0.0
61|40|107|1|1||1|0|0|16.69|0.0
62|40|108|1|1|32.68|0|0|0|34.39|0.0
63|45|101|1|4|8.23|1|0|0|8.79|0.0
64|45|101|0|4|8.53|1|0|0|7.37|0.0
65|45|101|0|2|9.68|0|0|0|7.65|0.0
66|45|102|0|1|13.42|1|0|0|13.09|0.0
67|45|103|1|4|6.71|1|0|0|7.76|0.0
68|45|103|0|3|9.82|1|0|0|7.96|0.0
69|45|104|0|3|7.03|0|0|0|6.49|0.0
70|45|104|1|1|8.43|0|0|0|7.98|0.0
71|45|104|0|1|6.17|1|0|0|5.89|0.0
72|45|105|0|3|12.55|1|0|0|9.71|0.0
73|45|105|1|2|11.23|0|0|0|12.99|0.0
74|45|106|0|1|19.0|0|0|0|17.36|0.0
75|45|106|0|1|13.62|0|0|0|14.95|0.0
76|45|106|0|1|19.09|0|1|1|16.97|33.94
77|45|107|0|4|25.88|1|0|0|24.49|0.0
78|45|108|0|1|28.19|0|0|0|32.5|0.0
79|45|108|0|2|32.6|0|0|0|28.95|0.0
80|45|108|1|3||0|0|0|30.54|0.0
81|50|101|0|3||0|0|0|9.43|0.0
82|50|101|1|3|10.41|0|0|0|8.31|0.0
83|50|101|0|2|8.55|1|0|0|9.25|0.0
84|50|102|0|3|12.56|0|0|0|12.74|0.0
85|50|102|0|4|13.11|0|0|0|13.67|0.0
86|50|103|1|3|7.45|1|0|0|8.32|0.0
87|50|104|0|2|7.77|0|0|0|7.28|0.0
88|50|105|0|3|11.6|0|0|0|11.64|0.0
89|50|105|0|1||0|0|0|9.88|0.0
90|50|105|0|1|11.29|0|0|0|12.9|0.0
91|50|106|0|2||0|1|1|16.52|16.52
92|50|106|0|1|17.73|0|0|0|17.58|0.0
93|50|107|1|3|25.95|0|0|0|24.48|0.0
94|50|107|0|3|22.55|0|0|0|17.58|0.0
95|50|108|0|1||1|0|0|30.18|0.0
96|50|108|0|4|35.63|0|0|0|33.29|0.0
97|55|101|0|4|8.0|0|0|0|9.46|0.0
98|55|101|0|1|9.73|0|0|0|7.09|0.0
99|55|102|1|2||0|0|0|14.76|0.0
100|55|102|1|1|16.83|0|0|0|13.14|0.0
101|55|102|0|2|11.93|0|0|0|15.26|0.0
102|55|103|0|3||0|0|0|8.5|0.0
103|55|103|1|3||0|0|0|9.13|0.0
104|55|103|0|1||0|0|0|9.5|0.0
105|55|104|0|1|7.66|0|0|0|5.89|0.0
106|55|104|1|1|6.95|0|0|0|7.3|0.0
107|55|105|1|3|13.39|0|0|0|10.51|0.0
108|55|105|0|1|10.93|0|0|0|11.43|0.0
109|55|106|0|1|16.89|1|0|0|15.99|0.0
110|55|106|0|2|18.85|1|0|0|17.63|0.0
111|55|107|0|1|17.62|1|0|0|17.07|0.0
112|55|108|1|1|26.39|0|0|0|28.98|0.0
113|60|101|1|1|8.17|0|0|0|10.59|0.0
114|60|101|0|1|10.63|1|0|0|8.37|0.0
115|60|102|0|2|16.34|1|0|0|15.67|0.0
116|60|102|1|2|15.91|1|0|0|13.31|0.0
117|60|103|0|4|9.5|1|0|0|6.32|0.0
118|60|104|1|3|8.06|0|1|1|6.79|13.58
119|60|104|0|1|7.05|1|1|0|5.41|0.0
120|60|104|0|1|8.57|0|0|0|7.16|0.0
121|60|105|0|4|10.53|1|1|1|12.41|24.82
122|60|106|0|1|15.67|0|0|0|16.86|0.0
123|60|106|0|3||0|1|0|17.78|0.0
124|60|106|0|2|13.82|1|0|0|15.6|0.0
125|60|107|0|1|20.85|0|0|0|20.6|0.0
126|60|108|1|2|32.67|1|0|0|33.79|0.0
127|65|101|0|3|11.39|0|0|0|9.51|0.0
128|65|102|1|2||1|1|1|15.61|15.61
129|65|102|0|2||1|0|0|12.27|0.0
130|65|103|0|4|9.42|0|0|0|8.75|0.0
131|65|103|0|1|8.71|0|0|0|8.26|0.0
132|65|103|0|2|6.76|0|1|1|8.61|17.22
133|65|104|0|1||0|0|0|6.9|0.0
134|65|104|0|2|8.5|0|0|0|7.52|0.0
135|65|105|1|1||0|0|0|12.35|0.0
136|65|106|0|1|12.97|0|0|0|14.89|0.0
137|65|106|0|4|16.99|0|0|0|12.66|0.0
138|65|107|0|4|18.05|1|0|0|24.21|0.0
139|65|108|0|1||0|0|0|26.48|0.0
140|65|108|0|1|26.16|1|0|0|27.29|0.0
141|70|101|1|4|8.21|1|0|0|9.57|0.0
142|70|101|1|2||0|0|0|7.91|0.0
143|70|101|0|2||0|0|0|9.15|0.0
144|70|102|0|3|17.09|1|0|0|11.22|0.0
145|70|102|0|1|12.92|0|0|0|15.22|0.0
146|70|103|0|4|9.54|0|0|0|8.75|0.0
147|70|103|0|2|7.13|0|0|0|7.97|0.0
148|70|103|0|1||0|0|0|8.8|0.0
149|70|104|0|1|6.14|1|0|0|6.88|0.0
150|70|104|1|3|7.26|0|0|0|6.67|0.0
151|70|105|0|4|12.02|0|0|0|8.72|0.0
152|70|105|1|3|11.32|1|1|0|8.78|0.0
153|70|105|0|1|11.97|0|0|0|10.18|0.0
154|70|106|1|4|13.52|0|0|0|17.45|0.0
155|70|106|0|3|14.35|0|0|0|17.29|0.0
156|70|107|0|2|23.32|0|0|0|24.59|0.0
157|70|107|1|1||0|1|0|17.07|0.0
158|70|107|0|4||0|0|0|22.11|0.0
159|70|108|1|1|31.86|0|0|0|24.02|0.0
160|70|108|0|3|25.83|0|0|0|24.16|0.0
161|70|108|0|3|36.44|0|0|0|30.21|0.0
162|72|101|0|1||0|0|0|10.59|0.0
163|72|101|0|1|9.15|0|0|0|9.9|0.0
164|72|101|0|4|9.22|0|0|0|7.68|0.0
165|72|102|0|1||0|0|0|14.57|0.0
166|72|102|1|3|13.9|0|1|1|15.04|15.04
167|72|103|1|4|6.8|1|1|1|9.45|9.45
168|72|103|0|2|7.05|1|1|1|8.66|17.32
169|72|103|0|4|8.87|0|0|0|6.41|0.0
170|72|104|1|1|6.0|0|0|0|7.03|0.0
171|72|105|1|2||0|1|0|12.84|0.0
172|72|105|1|2||0|0|0|9.55|0.0
173|72|105|0|3|12.48|0|1|1|9.96|9.96
174|72|106|0|2|19.05|0|1|1|13.48|26.96
175|72|106|0|1||1|0|0|14.95|0.0
176|72|106|1|4|19.23|0|0|0|17.53|0.0
177|72|107|1|1|23.02|0|0|0|21.42|0.0
178|72|108|0|3|25.2|0|0|0|23.69|0.0
179|75|101|1|3|11.26|0|0|0|8.79|0.0
180|75|102|0|2|14.4|0|0|0|13.29|0.0
181|75|102|0|1|12.51|0|0|0|14.77|0.0
182|75|102|0|2|13.14|1|0|0|15.15|0.0
183|75|103|0|1|8.51|1|0|0|7.12|0.0
184|75|104|0|2||0|0|0|8.01|0.0
185|75|104|1|1|8.48|0|0|0|6.98|0.0
186|75|104|0|1|8.17|0|0|0|7.23|0.0
187|75|105|0|2|13.42|0|0|0|12.75|0.0
188|75|105|0|1||0|1|0|12.28|0.0
189|75|106|0|2|16.86|1|0|0|12.95|0.0
190|75|106|0|3||0|0|0|16.32|0.0
191|75|106|1|4|17.7|1|0|0|13.47|0.0
192|75|107|0|2|22.49|1|0|0|20.29|0.0
193|75|107|1|4|25.95|0|1|1|23.26|46.52
194|75|108|0|4|33.21|0|0|0|26.24|0.0
195|75|108|0|3|26.31|1|0|0|23.87|0.0
196|78|101|0|1|9.13|0|0|0|7.98|0.0
197|78|101|0|1||0|0|0|10.28|0.0
198|78|102|0|1|16.29|0|0|0|15.06|0.0
199|78|103|0|1||0|0|0|8.95|0.0
200|78|103|1|1|7.44|0|0|0|6.33|0.0
201|78|103|1|1||1|1|1|8.16|8.16
202|78|104|0|2|7.55|0|0|0|7.01|0.0
203|78|104|0|4|5.97|0|0|0|6.49|0.0
204|78|104|1|2|5.82|0|0|0|6.36|0.0
205|78|105|0|4|10.6|0|0|0|10.05|0.0
206|78|105|0|3|11.27|0|1|0|12.13|0.0
207|78|105|1|1|9.29|0|0|0|12.47|0.0
208|78|106|1|4|13.12|0|0|0|13.8|0.0
209|78|106|0|2|18.03|1|0|0|17.69|0.0
210|78|107|0|1|21.85|0|0|0|23.26|0.0
211|78|107|0|3|24.7|0|1|0|19.06|0.0
212|78|108|1|4|26.54|1|1|0|27.06|0.0
213|78|108|0|4|27.86|0|0|0|23.67|0.0
214|80|101|0|1||1|1|0|7.21|0.0
215|80|101|0|2|9.79|0|0|0|9.67|0.0
216|80|102|1|1|14.56|1|0|0|12.5|0.0
217|80|102|0|1|14.39|1|1|0|15.95|0.0
218|80|103|1|1|7.6|1|1|1|6.84|6.84
219|80|103|1|1|9.87|0|0|0|8.4|0.0
220|80|103|0|2|9.02|0|0|0|8.81|0.0
221|80|104|0|1|7.2|0|0|0|6.96|0.0
222|80|105|0|4|9.39|1|0|0|12.99|0.0
223|80|105|1|3|9.43|0|0|0|11.36|0.0
224|80|105|0|1|12.64|0|1|1|11.93|35.79
225|80|106|0|4||0|0|0|13.0|0.0
226|80|107|0|4|24.9|0|0|0|17.97|0.0
227|80|108|0|2|25.64|0|0|0|30.0|0.0
228|80|108|0|4|31.91|0|1|1|32.86|65.72
229|83|101|0|1|9.21|0|0|0|8.98|0.0
230|83|101|0|2|10.69|1|1|1|8.21|8.21
231|83|101|1|3|8.92|0|0|0|8.27|0.0
232|83|102|0|3||0|1|1|13.66|13.66
233|83|102|0|3|12.07|0|0|0|16.14|0.0
234|83|102|1|1|16.71|0|0|0|16.07|0.0
235|83|103|0|3|8.2|0|1|1|7.83|7.83
236|83|104|0|4|5.92|1|0|0|7.09|0.0
237|83|105|1|2|12.94|1|0|0|9.05|0.0
238|83|105|0|3|10.91|0|0|0|10.09|0.0
239|83|105|1|4|11.59|0|1|1|9.03|9.03
240|83|106|0|1||1|1|1|15.18|15.18
241|83|106|1|4|16.78|0|0|0|14.07|0.0
242|83|106|0|3|17.64|0|0|0|15.78|0.0
243|83|107|1|4|24.64|0|1|1|19.15|19.15
244|83|107|0|4|25.96|0|0|0|22.56|0.0
245|83|107|0|4|22.92|1|0|0|17.54|0.0
246|83|108|0|1||0|0|0|27.88|0.0
247|86|101|1|4|11.13|0|0|0|9.77|0.0
248|86|102|0|3|13.32|0|0|0|13.34|0.0
249|86|102|0|2|12.62|0|0|0|12.3|0.0
250|86|102|0|2|15.49|1|0|0|12.52|0.0
251|86|103|0|2||1|0|0|9.15|0.0
252|86|103|0|1|7.61|0|0|0|7.33|0.0
253|86|103|0|3|9.4|0|0|0|9.28|0.0
254|86|104|0|4|6.47|0|0|0|7.3|0.0
255|86|105|0|1||0|1|0|11.7|0.0
256|86|105|0|4|9.81|1|0|0|10.61|0.0
257|86|105|0|2|9.36|0|0|0|11.41|0.0
258|86|106|0|1|18.27|0|0|0|18.38|0.0
259|86|106|1|1|19.08|0|1|0|17.61|0.0
260|86|106|0|2|19.25|1|1|1|17.69|17.69
261|86|107|0|2||1|0|0|21.92|0.0
262|86|108|0|2|33.78|0|0|0|30.23|0.0
263|89|101|1|4|9.15|0|1|1|7.78|7.78
264|89|101|0|2|9.33|0|0|0|10.71|0.0
265|89|102|0|2|15.5|0|0|0|14.54|0.0
266|89|102|0|3|16.83|0|0|0|14.67|0.0
267|89|102|0|2|12.78|0|0|0|13.45|0.0
268|89|103|0|3|9.69|0|0|0|8.71|0.0
269|89|103|0|4|8.99|0|1|0|9.22|0.0
270|89|103|0|4|7.2|1|0|0|6.56|0.0
271|89|104|1|1|7.06|0|0|0|6.67|0.0
272|89|104|1|4||1|0|0|7.31|0.0
273|89|104|0|3|5.78|0|1|1|7.03|7.03
274|89|105|0|1|11.24|0|0|0|10.3|0.0
275|89|105|1|2|10.83|1|0|0|10.15|0.0
276|89|105|0|2||1|0|0|10.85|0.0
277|89|106|0|1|15.86|1|0|0|15.39|0.0
278|89|107|1|2||0|0|0|24.45|0.0
279|89|108|0|3|35.97|0|1|0|25.7|0.0
280|92|101|0|1|9.16|0|0|0|9.14|0.0
281|92|101|0|1|8.73|0|0|0|9.28|0.0
282|92|102|0|2|17.19|0|0|0|13.07|0.0
283|92|102|0|3|11.78|0|0|0|16.11|0.0
284|92|103|0|3|7.65|0|0|0|8.68|0.0
285|92|103|0|2|7.13|1|0|0|9.22|0.0
286|92|103|1|4|7.94|0|0|0|6.85|0.0
287|92|104|0|1|8.17|0|0|0|6.14|0.0
288|92|104|0|1||0|0|0|6.75|0.0
289|92|105|0|1|9.96|0|0|0|11.84|0.0
290|92|105|0|4|10.9|0|0|0|10.95|0.0
291|92|106|1|4|14.87|0|0|0|15.26|0.0
292|92|106|0|3|14.94|0|0|0|14.35|0.0
293|92|107|0|1||1|0|0|18.83|0.0
294|92|107|0|3|19.65|0|0|0|18.5|0.0
295|92|107|1|3||0|0|0|17.73|0.0
296|92|108|0|4|36.23|0|1|0|33.03|0.0
297|92|108|0|1|34.82|0|1|1|23.58|23.58
