feature_name,stage,in_safe_pruned,in_full_pruned,keep_reason,drop_reason,redundancy_flag,operational_flag
pharmForm_norm,CLS,True,True,filter signal; operational — always available,,False,available
pharmForm_norm,REG,True,True,filter signal; operational — always available,,False,available
pid_prob,CLS,False,True,filter signal; conditional — requires history/encoder,,False,conditional
pid_prob,REG,False,True,filter signal; conditional — requires history/encoder,,False,conditional
pid_segment,CLS,False,True,filter signal; conditional — requires history/encoder,,False,conditional
pid_segment,REG,False,True,filter signal; conditional — requires history/encoder,,False,conditional
pid_total_events,CLS,False,True,filter signal; conditional — requires history/encoder,,False,conditional
pid_total_events,REG,False,True,filter signal; conditional — requires history/encoder,,False,conditional
price,CLS,True,True,filter signal; operational — always available,,False,available
price,REG,True,True,filter signal; operational — always available,,False,available
price_diff,CLS,False,False,,MI_CLS=0,False,available
price_diff,REG,True,True,filter signal; operational — always available,,False,available
price_diff_bin,CLS,True,True,filter signal; operational — always available,,False,available
price_diff_bin,REG,True,True,filter signal; operational — always available,,False,available
price_discount,CLS,False,False,,MI_CLS=0,False,available
price_discount,REG,True,True,filter signal; operational — always available,,False,available
price_discount_diff,CLS,False,False,,MI_CLS=0,False,available
price_discount_diff,REG,False,False,,MI_REG=0,False,available
price_per_unit,CLS,True,True,filter signal; operational — always available,,False,available
price_per_unit,REG,False,False,,MI_REG=0,False,available
rrp,CLS,False,False,,redundant r≥0.97 with competitorPrice,True,available
rrp,REG,False,False,,redundant r≥0.97 with competitorPrice,True,available
rrp_per_unit,CLS,False,False,,redundant r≥0.97 with price_per_unit,True,available
rrp_per_unit,REG,False,False,,redundant r≥0.97 with price_per_unit,True,available
salesIndex,CLS,True,True,filter signal; operational — always available,,False,available
salesIndex,REG,True,True,filter signal; operational — always available,,False,available
week_order,CLS,False,False,,"MI_CLS=0.0007 — weak, user-flagged",False,conditional
week_order,REG,False,False,,MI_REG=0,False,conditional
